musclesId,musclesName,equipmentId,equipmentName,image,gender,ordering,video_center,video_side
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-female-dumbbell-incline-zottman-curl-front.jpg,female,-weight,https://media.musclewiki.com/media/uploads/videos/branded/female-dumbbell-incline-zottman-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-dumbbell-incline-zottman-curl-side.mp4
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-male-Dumbbells-dumbbell-bench-wrist-curl-front.jpg,male,-weight,https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-bench-wrist-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-bench-wrist-curl-side.mp4
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-female-Dumbbells-dumbbell-bench-wrist-curl-front.jpg,female,-weight,https://media.musclewiki.com/media/uploads/videos/branded/female-Dumbbells-dumbbell-bench-wrist-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-Dumbbells-dumbbell-bench-wrist-curl-side.mp4
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-male-Recovery-wrist-flexor-curl-dumbbell-kneeling-front.jpg,male,-weight,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-wrist-flexor-curl-dumbbell-kneeling-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/male-Recovery-wrist-flexor-curl-dumbbell-kneeling-side.mp4
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-female-Recovery-wrist-flexor-curl-dumbbell-kneeling-front.jpg,female,-weight,https://media.musclewiki.com/media/uploads/videos/branded/female-Recovery-wrist-flexor-curl-dumbbell-kneeling-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-Recovery-wrist-flexor-curl-dumbbell-kneeling-side.mp4
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-male-dumbbell-incline-reverse-curl-front.jpg,male,+weight,https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-reverse-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-reverse-curl-side.mp4
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-female-dumbbell-incline-reverse-curl-front.jpg,female,+weight,https://media.musclewiki.com/media/uploads/videos/branded/female-dumbbell-incline-reverse-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-dumbbell-incline-reverse-curl-side.mp4
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-male-dumbbell-incline-zottman-curl-front.jpg,male,+weight,https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-zottman-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-incline-zottman-curl-side.mp4
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-female-dumbbell-incline-zottman-curl-front.jpg,female,+weight,https://media.musclewiki.com/media/uploads/videos/branded/female-dumbbell-incline-zottman-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-dumbbell-incline-zottman-curl-side.mp4
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-male-Dumbbells-dumbbell-bench-wrist-curl-front.jpg,male,+weight,https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-bench-wrist-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/male-Dumbbells-dumbbell-bench-wrist-curl-side.mp4
26,wrist-flexors,2,Dumbbells,https://media.musclewiki.com/media/uploads/og-female-Dumbbells-dumbbell-bench-wrist-curl-front.jpg,female,+weight,https://media.musclewiki.com/media/uploads/videos/branded/female-Dumbbells-dumbbell-bench-wrist-curl-front.mp4,https://media.musclewiki.com/media/uploads/videos/branded/female-Dumbbells-dumbbell-bench-wrist-curl-side.mp4
